Domicile,FA/FSC,English Marks,Offered
Bahawalpur,788,138,Not Offered
Bahawalpur,754,159,Not Offered
Bahawalpur,516,96,Not Offered
Bahawalpur,910,90,Not Offered
Bahawalpur,604,63,Not Offered
Bahawalpur,635,115,Not Offered
Bahawalpur,583,101,Not Offered
Bahawalpur,780,131,Not Offered
Bahawalpur,935,75,Not Offered
Bahawalpur,740,43,Not Offered
Bahawalpur,660,139,Not Offered
Bahawalpur,764,43,Not Offered
Bahawalpur,795,135,Not Offered
Bahawalpur,778,169,Not Offered
Bahawalpur,833,145,Not Offered
Bahawalpur,729,103,Not Offered
Bahawalpur,786,144,Not Offered
Bahawalpur,689,92,Not Offered
Bahawalpur,797,155,Not Offered
Bahawalpur,822,136,Not Offered
Bahawalpur,716,144,Not Offered
Bahawalpur,864,146,Not Offered
Bahawalpur,781,143,Not Offered
Bahawalpur,876,156,Not Offered
Bahawalpur,656,142,Not Offered
Bahawalpur,692,133,Not Offered
Bahawalpur,748,124,Not Offered
Bahawalpur,792,157,Not Offered
Bahawalpur,783,128,Not Offered
Bahawalpur,653,121,Not Offered
Bahawalpur,612,104,Not Offered
Bahawalpur,834,137,Not Offered
Bahawalpur,695,125,Not Offered
Bahawalpur,671,134,Not Offered
Bahawalpur,544,113,Not Offered
Bahawalpur,892,156,Offered_IN_BWP_QUOTA
Bahawalpur,597,99,Not Offered
Bahawalpur,602,110,Not Offered
Bahawalpur,647,133,Not Offered
Bahawalpur,293,113,Not Offered
Bahawalpur,616,71,Not Offered
Bahawalpur,469,63,Not Offered
Bahawalpur,730,138,Not Offered
Bahawalpur,704,141,Not Offered
Bahawalpur,695,118,Not Offered
Bahawalpur,701,148,Not Offered
Bahawalpur,765,129,Not Offered
Bahawalpur,865,138,Offered_IN_BWP_QUOTA
Bahawalpur,534,95,Not Offered
Bahawalpur,697,138,Not Offered
Bahawalpur,745,62,Not Offered
Bahawalpur,704,100,Not Offered
Bahawalpur,756,144,Not Offered
Bahawalpur,644,134,Not Offered
Bahawalpur,878,149,Not Offered
Bahawalpur,667,88,Not Offered
Bahawalpur,815,151,Not Offered
Bahawalpur,713,143,Not Offered
Bahawalpur,523,114,Not Offered
Bahawalpur,659,118,Not Offered
Bahawalpur,615,89,Not Offered
Bahawalpur,684,164,Not Offered
Bahawalpur,633,117,Not Offered
Bahawalpur,817,131,Not Offered
Bahawalpur,618,78,Not Offered
Bahawalpur,640,117,Not Offered
Bahawalpur,978,175,Offered_IN_OPEN_QUOTA
Bahawalpur,891,168,Offered_IN_BWP_QUOTA
Bahawalpur,810,148,Not Offered
Bahawalpur,724,71,Not Offered
Bahawalpur,881,160,Not Offered
Bahawalpur,544,97,Not Offered
Bahawalpur,521,120,Not Offered
Bahawalpur,727,141,Not Offered
Bahawalpur,704,62,Not Offered
Bahawalpur,631,82,Not Offered
Bahawalpur,785,76,Not Offered
Bahawalpur,524,91,Not Offered
Bahawalpur,773,123,Not Offered
Bahawalpur,854,143,Not Offered
Bahawalpur,689,111,Not Offered
OPEN,739,148,Not Offered
Bahawalpur,707,129,Not Offered
Bahawalpur,790,167,Not Offered
Bahawalpur,641,142,Not Offered
Bahawalpur,930,175,Offered_IN_BWP_QUOTA
Bahawalpur,697,142,Not Offered
Bahawalpur,756,143,Not Offered
Bahawalpur,956,174,Offered_IN_OPEN_QUOTA
Bahawalpur,607,100,Not Offered
Bahawalpur,822,132,Not Offered
Bahawalpur,716,117,Not Offered
Bahawalpur,858,129,Not Offered
Bahawalpur,815,158,Not Offered
Bahawalpur,875,155,Not Offered
Bahawalpur,797,123,Not Offered
Bahawalpur,774,159,Not Offered
Bahawalpur,637,54,Not Offered
Bahawalpur,672,107,Not Offered
Bahawalpur,788,141,Not Offered
Bahawalpur,695,91,Not Offered
Bahawalpur,979,181,Offered_IN_OPEN_QUOTA
Bahawalpur,892,158,Offered_IN_BWP_QUOTA
Bahawalpur,942,179,Offered_IN_OPEN_QUOTA
Bahawalpur,836,143,Not Offered
Bahawalpur,786,152,Not Offered
Bahawalpur,695,131,Not Offered
Bahawalpur,824,140,Not Offered
Bahawalpur,740,154,Not Offered
Bahawalpur,541,94,Not Offered
Bahawalpur,999,176,Offered_IN_OPEN_QUOTA
Bahawalpur,743,137,Not Offered
Bahawalpur,820,128,Not Offered
Bahawalpur,572,135,Not Offered
Bahawalpur,632,109,Not Offered
Bahawalpur,763,174,Not Offered
Bahawalpur,790,56,Not Offered
Bahawalpur,772,166,Not Offered
Bahawalpur,659,79,Not Offered
Bahawalpur,829,153,Not Offered
Bahawalpur,702,138,Not Offered
Bahawalpur,827,161,Not Offered
Bahawalpur,689,139,Not Offered
Bahawalpur,570,141,Not Offered
Bahawalpur,871,162,Not Offered
Bahawalpur,909,149,Offered_IN_BWP_QUOTA
Bahawalpur,578,89,Not Offered
Bahawalpur,816,112,Not Offered
Bahawalpur,676,112,Not Offered
Bahawalpur,821,152,Not Offered
Bahawalpur,803,120,Not Offered
Bahawalpur,916,162,Offered_IN_BWP_QUOTA
Bahawalpur,844,137,Not Offered
Bahawalpur,836,121,Not Offered
Bahawalpur,723,124,Not Offered
Bahawalpur,787,136,Not Offered
Bahawalpur,814,158,Not Offered
Bahawalpur,615,126,Not Offered
Bahawalpur,765,154,Not Offered
Bahawalpur,830,141,Not Offered
Bahawalpur,856,169,Not Offered
Bahawalpur,889,122,Not Offered
Bahawalpur,722,163,Not Offered
Bahawalpur,592,90,Not Offered
Bahawalpur,847,173,Not Offered
Bahawalpur,998,170,Offered_IN_OPEN_QUOTA
Bahawalpur,757,127,Not Offered
Bahawalpur,612,76,Not Offered
Bahawalpur,657,106,Not Offered
Bahawalpur,670,150,Not Offered
Bahawalpur,771,132,Not Offered
Bahawalpur,679,120,Not Offered
Bahawalpur,835,138,Not Offered
Bahawalpur,508,70,Not Offered
Bahawalpur,776,143,Not Offered
Bahawalpur,647,102,Not Offered
Bahawalpur,908,168,Offered_IN_BWP_QUOTA
Bahawalpur,797,58,Not Offered
Bahawalpur,664,117,Not Offered
Bahawalpur,718,80,Not Offered
Bahawalpur,737,113,Not Offered
Bahawalpur,827,123,Not Offered
Bahawalpur,788,165,Not Offered
Bahawalpur,758,107,Not Offered
Bahawalpur,972,162,Offered_IN_OPEN_QUOTA
Bahawalpur,824,100,Not Offered
Bahawalpur,731,132,Not Offered
Bahawalpur,741,127,Not Offered
Bahawalpur,526,89,Not Offered
