Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
OPEN,,No,57,0,751,0,Offered_IN_OPEN_QUOTA
OPEN,,No,43,0,558,0,"Not Offered"
OPEN,,No,50,0,755,0,Offered_IN_OPEN_QUOTA
OPEN,,No,57,0,763,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,664,0,"Not Offered"
OPEN,,No,40,14,765,0,"Not Offered"
OPEN,,Yes,53,0,738,0,Offered_IN_OPEN_QUOTA
OPEN,,No,57,0,772,0,Offered_IN_OPEN_QUOTA
OPEN,,No,41,0,829,0,Offered_IN_OPEN_QUOTA
OPEN,,No,50,0,855,0,"Not Offered"
OPEN,,No,68,0,762,0,Offered_IN_OPEN_QUOTA
OPEN,,No,0,0,582,0,"Not Offered"
